date, pm25, pm10, o3, no2, so2, co
2020/7/2, 85, 55, 94, 13, 4, 4
2020/7/3, 91, 48, 70, 11, 3, 3
2020/7/4, 101, 53, 19, 14, 2, 3
2020/7/5, 91, , , , , 
2020/6/2, 74, 75, 79, 8, 4, 4
2020/6/3, 98, 125, 107, 13, 7, 5
2020/6/4, 113, 101, 48, 19, 7, 5
2020/6/5, 96, 47, 66, 9, 5, 3
2020/6/6, 61, 58, 109, 14, 6, 
2020/6/7, 80, 85, 124, 15, 9, 
2020/6/8, 129, 79, 112, 11, 6, 
2020/6/9, 97, 90, 64, 18, 6, 6
2020/6/10, 126, 81, 116, 16, 5, 5
2020/6/11, 145, 82, 117, 13, 7, 6
2020/6/12, 137, 66, 105, 12, 6, 6
2020/6/13, 123, 71, 115, 12, 3, 3
2020/6/14, 104, 39, 64, 12, 3, 1
2020/6/15, 64, 60, 116, 14, 11, 6
2020/6/16, 77, 73, 111, 17, 7, 7
2020/6/17, 99, 43, 74, 7, 5, 3
2020/6/18, 84, 41, 88, 7, 6, 3
2020/6/19, 93, 43, 100, 8, 4, 3
2020/6/20, 75, 51, 95, 7, 4, 3
2020/6/21, 93, 57, 103, 9, 4, 4
2020/6/22, 107, 57, 82, 9, 4, 3
2020/6/23, 95, 53, 60, 8, 5, 3
2020/6/24, 89, 41, 74, 6, 2, 2
2020/6/25, 79, 38, 84, 7, 3, 2
2020/6/26, 70, 59, 89, 9, 4, 4
2020/6/27, 110, 79, 99, 10, 2, 8
2020/6/28, 155, 65, 92, 10, 4, 4
2020/6/29, 121, 58, 56, 9, 3, 6
2020/6/30, 123, 54, 75, 12, 2, 4
2020/7/1, 112, 47, 90, 13, 2, 3
2020/5/2, 122, 56, 90, 6, 7, 
2020/5/3, 108, 51, 44, 8, 9, 
2020/5/4, 104, 41, 25, 8, 3, 
2020/5/5, 73, 41, 65, 11, 3, 
2020/5/6, 83, 55, 83, 12, 8, 
2020/5/7, 114, 71, 42, 16, 5, 
2020/5/8, 149, 22, 46, 5, 3, 
2020/5/9, 66, 44, 44, 9, 4, 1
2020/5/10, 97, 62, 57, 13, 5, 4
2020/5/11, 97, 50, 51, 11, 4, 3
2020/5/12, 58, 69, 49, 10, 3, 4
2020/5/13, 76, 85, 90, 16, 8, 2
2020/5/14, 95, 82, 70, 16, 8, 3
2020/5/15, 127, 64, 66, 14, 5, 6
2020/5/16, 127, 67, 64, 14, 5, 6
2020/5/17, 126, 86, 54, 16, 6, 7
2020/5/18, 125, 63, 43, 10, 4, 3
2020/5/19, 67, 49, 58, 13, 5, 2
2020/5/20, 72, 67, 88, 14, 7, 
2020/5/21, 100, 75, 82, 13, 7, 
2020/5/22, 138, 46, 71, 13, 5, 2
2020/5/23, 92, 47, 63, 12, 6, 6
2020/5/24, 85, 39, 72, 9, 4, 5
2020/5/25, 74, 68, 69, 14, 6, 5
2020/5/26, 87, 37, 59, 7, 2, 2
2020/5/27, 87, 37, 60, 8, 3, 
2020/5/28, 71, 45, 82, 9, 6, 
2020/5/29, 66, 63, 101, 12, 7, 6
2020/5/30, 90, 56, 87, 7, 5, 6
2020/5/31, 87, 41, 56, 7, 3, 4
2020/6/1, 81, 52, 76, 11, 6, 4
2020/4/2, 94, 50, 40, 8, 3, 
2020/4/3, 94, 60, 44, 10, 5, 
2020/4/4, 119, 104, 40, 10, 4, 
2020/4/5, 88, 71, 52, 12, 11, 
2020/4/6, 98, 85, 59, 11, 9, 
2020/4/7, 152, 79, 37, 17, 6, 
2020/4/8, 105, 52, 37, 14, 6, 
2020/4/9, 76, 39, 38, 8, 4, 
2020/4/10, 86, 57, 61, 19, 7, 
2020/4/11, 117, 54, 50, 14, 6, 
2020/4/12, 93, 62, 57, 19, 7, 
2020/4/13, 88, 66, 59, 15, 8, 
2020/4/14, 107, 78, 50, 11, 7, 
2020/4/15, 132, 64, 94, 15, 8, 
2020/4/16, 118, 75, 54, 11, 6, 
2020/4/17, 119, 64, 83, 12, 4, 6
2020/4/18, 102, 62, 101, 14, 7, 6
2020/4/19, 137, 61, 80, 9, 6, 4
2020/4/20, 145, 43, 43, 6, 3, 
2020/4/21, 67, 42, 38, 10, 4, 
2020/4/22, 64, 41, 42, 8, 3, 
2020/4/23, 61, 30, 42, 9, 3, 
2020/4/24, 60, 65, 45, 13, 6, 
2020/4/25, 75, 61, 48, 10, 5, 
2020/4/26, 81, 46, 51, 11, 5, 
2020/4/27, 79, 56, 77, 16, 12, 
2020/4/28, 97, 71, 91, 11, 7, 
2020/4/29, 102, 71, 108, 9, 7, 
2020/4/30, 115, 72, 121, 9, 9, 
2020/5/1, 130, 67, 96, 6, 8, 
2020/3/2, 125, 49, 37, 17, 8, 7
2020/3/3, 105, 55, 24, 9, 5, 4
2020/3/4, 117, 26, 33, 9, 4, 
2020/3/5, 64, 55, 40, 14, 10, 
2020/3/6, 111, 76, 52, 12, 8, 
2020/3/7, 159, 93, 56, 15, 6, 
2020/3/8, 182, 113, 29, 15, 5, 6
2020/3/9, 196, 71, 24, 15, 4, 
2020/3/10, 148, 51, 36, 18, 4, 
2020/3/11, 105, 69, 47, 15, 8, 
2020/3/12, 115, 74, 28, 12, 7, 
2020/3/13, 116, 47, 34, 12, 5, 
2020/3/14, 78, 49, 38, 16, 6, 
2020/3/15, 79, 48, 34, 21, 7, 
2020/3/16, 81, 65, 35, 14, 8, 
2020/3/17, 99, 76, 45, 21, 7, 1
2020/3/18, 130, 116, 54, 10, 8, 
2020/3/19, 108, 43, 40, 6, 4, 
2020/3/20, 58, 89, 41, 16, 8, 
2020/3/21, 96, 88, 39, 24, 9, 
2020/3/22, 122, 49, 49, 16, 6, 
2020/3/23, 85, 70, 63, 24, 9, 
2020/3/24, 137, 68, 53, 24, 11, 
2020/3/25, 138, 71, 72, 19, 12, 
2020/3/26, 129, 60, 30, 14, 7, 
2020/3/27, 94, 30, 34, 9, 4, 
2020/3/28, 49, 36, 35, 11, 5, 3
2020/3/29, 57, 68, 43, 17, 13, 3
2020/3/30, 112, 63, 47, 9, 6, 4
2020/3/31, 133, 67, 38, 10, 5, 5
2020/4/1, 135, 53, 26, 11, 6, 
2020/2/2, 131, 44, 34, 5, 4, 6
2020/2/3, 104, 43, 33, 9, 8, 8
2020/2/4, 100, 58, 29, 10, 11, 9
2020/2/5, 123, 37, 29, 7, 6, 4
2020/2/6, 82, 47, 24, 6, 5, 6
2020/2/7, 105, 81, 19, 9, 6, 11
2020/2/8, 170, 84, 33, 12, 7, 12
2020/2/9, 170, 107, 28, 13, 8, 17
2020/2/10, 198, 95, 50, 12, 13, 17
2020/2/11, 184, 75, 46, 12, 14, 16
2020/2/12, 163, 66, 40, 10, 9, 12
2020/2/13, 152, 72, 38, 9, 7, 10
2020/2/14, 160, 55, 21, 7, 4, 9
2020/2/15, 128, 26, 32, 4, 4, 5
2020/2/16, 66, 23, 32, 6, 5, 4
2020/2/17, 55, 21, 34, 6, 4, 4
2020/2/18, 59, 56, 38, 13, 11, 9
2020/2/19, 120, 64, 35, 11, 8, 7
2020/2/20, 139, 85, 23, 11, 4, 8
2020/2/21, 169, 108, 32, 16, 5, 12
2020/2/22, 182, 41, 37, 11, 5, 5
2020/2/23, 75, 73, 46, 16, 11, 6
2020/2/24, 118, 96, 28, 17, 7, 7
2020/2/25, 167, 50, 30, 9, 6, 1
2020/2/26, 110, 43, 30, 14, 6, 3
2020/2/27, 84, 35, 29, 13, 6, 1
2020/2/28, 75, 60, 23, 10, 4, 
2020/2/29, 143, 65, 27, 11, 4, 1
2020/3/1, 155, 57, 33, 13, 4, 5
2020/1/2, 157, 120, 12, 45, 17, 18
2020/1/3, 194, 127, 12, 44, 20, 19
2020/1/4, 201, 175, 17, 47, 20, 24
2020/1/5, 282, 101, 5, 36, 9, 15
2020/1/6, 188, 74, 3, 26, 4, 13
2020/1/7, 157, 73, 11, 25, 8, 10
2020/1/8, 150, 47, 26, 22, 9, 9
2020/1/9, 101, 81, 31, 27, 9, 17
2020/1/10, 166, 98, 23, 35, 13, 19
2020/1/11, 182, 60, 18, 25, 8, 9
2020/1/12, 113, 77, 16, 30, 10, 9
2020/1/13, 150, 67, 20, 29, 9, 
2020/1/14, 132, 53, 25, 24, 9, 
2020/1/15, 118, 98, 26, 31, 10, 5
2020/1/16, 184, 187, 18, 36, 10, 5
2020/1/17, 294, 176, 19, 31, 14, 22
2020/1/18, 275, 132, 18, 13, 6, 8
2020/1/19, 206, 110, 26, 20, 5, 16
2020/1/20, 183, 59, 24, 18, 7, 5
2020/1/21, 113, 87, 26, 24, 15, 10
2020/1/22, 152, 172, 24, 30, 15, 26
2020/1/23, 272, 186, 37, 23, 10, 26
2020/1/24, 281, 59, 30, 9, 6, 4
2020/1/25, 131, 94, 34, 15, 16, 8
2020/1/26, 180, 127, 32, 18, 10, 15
2020/1/27, 224, 118, 41, 16, 15, 16
2020/1/28, 212, 140, 40, 15, 11, 18
2020/1/29, 248, 81, 36, 13, 7, 11
2020/1/30, 170, 55, 32, 10, 10, 10
2020/1/31, 126, 87, 45, 11, 17, 14
2020/2/1, 170, 61, 33, 10, 8, 10
2019/10/2, 119, 63, 80, 20, 7, 6
2019/10/3, 126, 66, 102, 17, 6, 6
2019/10/4, 116, 45, 30, 11, 3, 4
2019/10/5, 83, 27, 28, 17, 6, 7
2019/10/6, 59, 43, 29, 22, 8, 5
2019/10/7, 74, 49, 33, 16, 4, 5
2019/10/8, 105, 49, 28, 21, 6, 7
2019/10/9, 85, 62, 57, 21, 12, 7
2019/10/10, 108, 60, 31, 17, 6, 7
2019/10/11, 138, 59, 30, 22, 5, 6
2019/10/12, 108, 46, 31, 21, 6, 4
2019/10/13, 69, 49, 14, 24, 6, 3
2019/10/14, 76, 38, 23, 18, 6, 6
2019/10/15, 72, 40, 29, 24, 8, 6
2019/10/16, 73, 59, 13, 30, 7, 7
2019/10/17, 112, 76, 22, 28, 7, 8
2019/10/18, 156, 96, 35, 33, 8, 9
2019/10/19, 172, 100, 63, 31, 8, 9
2019/10/20, 179, 105, 39, 27, 7, 8
2019/10/21, 165, 81, 36, 25, 10, 8
2019/10/22, 103, 89, 67, 33, 13, 10
2019/10/23, 139, 112, 56, 26, 9, 9
2019/10/24, 177, 75, 42, 23, 8, 6
2019/10/25, 143, 34, 29, 18, 6, 6
2019/10/26, 59, 50, 28, 29, 8, 7
2019/10/27, 86, 82, 29, 32, 11, 9
2019/10/28, 145, 121, 36, 17, 8, 6
2019/10/29, 117, 71, 36, 28, 9, 6
2019/10/30, 94, 129, 32, 34, 15, 10
2019/10/31, 149, 117, 35, 46, 13, 10
2019/11/1, 161, 87, 32, 33, 15, 10
2019/11/2, 112, 54, 12, 31, 8, 9
2019/11/3, 85, 50, 24, 21, 8, 9
2019/11/4, 86, 50, 30, 27, 9, 7
2019/11/5, 76, 68, 32, 24, 9, 7
2019/11/6, 120, 79, 35, 33, 11, 10
2019/11/7, 129, 57, 27, 20, 6, 6
2019/11/8, 94, 76, 35, 28, 11, 9
2019/11/9, 126, 146, 50, 28, 10, 13
2019/11/10, 213, 84, 30, 17, 6, 8
2019/11/11, 127, 72, 30, 29, 8, 9
2019/11/12, 107, 95, 33, 40, 15, 11
2019/11/13, 142, 84, 26, 21, 7, 3
2019/11/14, 105, 79, 17, 36, 13, 2
2019/11/15, 106, 88, 18, 25, 10, 9
2019/11/16, 138, 60, 13, 19, 7, 5
2019/11/17, 108, 104, 13, 23, 5, 5
2019/11/18, 134, 82, 23, 12, 3, 
2019/11/19, 78, 86, 21, 24, 6, 
2019/11/20, 108, 115, 14, 37, 16, 
2019/11/21, 155, 112, 9, 38, 12, 
2019/11/22, 167, 106, 20, 33, 11, 
2019/11/23, 168, 120, 5, 44, 8, 
2019/11/24, 188, 53, 22, 13, 3, 
2019/11/25, 84, 39, 20, 20, 7, 
2019/11/26, 67, 71, 21, 28, 13, 11
2019/11/27, 128, 57, 23, 22, 8, 
2019/11/28, 103, 52, 22, 24, 7, 1
2019/11/29, 86, 66, 21, 29, 12, 8
2019/11/30, 140, 99, 9, 32, 10, 
2019/12/1, 176, 64, 22, 24, 5, 
2019/12/2, 127, 44, 26, 17, 5, 
2019/12/3, 117, 76, 19, 28, 12, 
2019/12/4, 131, 74, 6, 35, 13, 
2019/12/5, 154, 58, 24, 22, 7, 4
2019/12/6, 121, 62, 22, 23, 10, 11
2019/12/7, 129, 120, 6, 27, 4, 15
2019/12/8, 201, 134, 18, 25, 2, 18
2019/12/9, 208, 153, 7, 28, 4, 25
2019/12/10, 230, 132, 6, 31, 4, 25
2019/12/11, 238, 83, 17, 25, 5, 16
2019/12/12, 143, 58, 16, 30, 11, 12
2019/12/13, 114, 85, 14, 34, 14, 14
2019/12/14, 164, 53, 17, 23, 9, 6
2019/12/15, 103, 73, 4, 27, 17, 9
2019/12/16, 147, 79, 6, 24, 5, 13
2019/12/17, 167, 56, 23, 18, 3, 7
2019/12/18, 117, 43, 18, 21, 6, 7
2019/12/19, 83, 56, 19, 23, 10, 9
2019/12/20, 111, 57, 16, 26, 10, 10
2019/12/21, 112, 132, 10, 31, 9, 18
2019/12/22, 229, 180, 7, 33, 9, 22
2019/12/23, 309, 142, 16, 33, 11, 23
2019/12/24, 257, 71, 15, 25, 9, 11
2019/12/25, 153, 95, 6, 28, 8, 16
2019/12/26, 181, 77, 17, 28, 10, 12
2019/12/27, 155, 82, 16, 27, 13, 14
2019/12/28, 153, 105, 14, 32, 13, 19
2019/12/29, 186, 116, 15, 31, 10, 19
2019/12/30, 209, , , , , 
2019/7/2, 65, 60, 110, 11, 12, 7
2019/7/3, 90, 48, 93, 14, 8, 7
2019/7/4, 98, 58, 121, 11, 11, 7
2019/7/5, 117, 68, 105, 8, 10, 5
2019/7/6, 91, 37, 44, 8, 5, 5
2019/7/7, 83, 33, 50, 6, 5, 4
2019/7/8, 76, 54, 78, 11, 6, 6
2019/7/9, 114, 59, 90, 19, 7, 7
2019/7/10, 123, 40, 45, 8, 5, 4
2019/7/11, 86, 41, 67, 11, 6, 4
2019/7/12, 89, 58, 101, 13, 10, 5
2019/7/13, 106, 53, 107, 9, 7, 5
2019/7/14, 104, 44, 90, 8, 6, 5
2019/7/15, 91, 45, 98, 11, 7, 5
2019/7/16, 96, 44, 82, 11, 7, 5
2019/7/17, 94, 63, 63, 13, 7, 6
2019/7/18, 134, 64, 105, 15, 8, 8
2019/7/19, 142, 37, 72, 9, 7, 3
2019/7/20, 76, 41, 52, 13, 9, 4
2019/7/21, 83, 40, 84, 10, 6, 5
2019/7/22, 91, 62, 100, 17, 9, 9
2019/7/23, 121, 45, 62, 6, 3, 7
2019/7/24, 105, 40, 74, 11, 5, 5
2019/7/25, 77, 50, 71, 12, 5, 6
2019/7/26, 90, 56, 81, 12, 5, 6
2019/7/27, 116, 61, 105, 15, 7, 7
2019/7/28, 121, 52, 101, 10, 5, 5
2019/7/29, 97, 30, 58, 10, 6, 4
2019/7/30, 64, 27, 56, 6, 5, 4
2019/7/31, 61, 48, 74, 9, 6, 6
2019/8/1, 90, 46, 136, 9, 5, 4
2019/8/2, 80, 32, 48, 8, 5, 5
2019/8/3, 65, 36, 55, 10, 5, 7
2019/8/4, 81, 33, 43, 10, 5, 4
2019/8/5, 71, 47, 53, 11, 5, 4
2019/8/6, 98, 42, 48, 14, 5, 4
2019/8/7, 81, 45, 39, 17, 4, 4
2019/8/8, 83, 47, 71, 20, 7, 6
2019/8/9, 88, 43, 60, 17, 5, 4
2019/8/10, 90, 34, 46, 7, 3, 5
2019/8/11, 78, 13, 14, 7, 5, 5
2019/8/12, 47, 10, 28, 4, 3, 3
2019/8/13, 37, 14, 29, 8, 4, 4
2019/8/14, 38, 31, 61, 13, 5, 7
2019/8/15, 61, 39, 73, 10, 5, 6
2019/8/16, 78, 26, 46, 8, 4, 3
2019/8/17, 55, 30, 44, 14, 6, 3
2019/8/18, 53, 34, 63, 13, 6, 4
2019/8/19, 61, 48, 92, 13, 9, 6
2019/8/20, 80, 51, 55, 14, 7, 6
2019/8/21, 89, 48, 67, 17, 5, 6
2019/8/22, 89, 47, 41, 25, 6, 7
2019/8/23, 87, 45, 65, 20, 8, 7
2019/8/24, 69, 50, 76, 16, 9, 12
2019/8/25, 96, 48, 74, 14, 8, 10
2019/8/26, 95, 61, 61, 14, 7, 11
2019/8/27, 121, 67, 65, 15, 8, 13
2019/8/28, 125, 46, 48, 11, 6, 4
2019/8/29, 79, 26, 42, 13, 6, 3
2019/8/30, 46, 40, 49, 20, 7, 4
2019/8/31, 58, 43, 64, 15, 10, 5
2019/9/1, 72, 53, 87, 28, 13, 5
2019/9/2, 91, 62, 97, 22, 8, 6
2019/9/3, 119, 62, 100, 25, 9, 6
2019/9/4, 119, 58, 76, 24, 13, 5
2019/9/5, 92, 56, 79, 19, 12, 5
2019/9/6, 99, 64, 96, 18, 11, 5
2019/9/7, 124, 66, 104, 21, 9, 7
2019/9/8, 123, 59, 98, 15, 8, 6
2019/9/9, 108, 75, 122, 28, 8, 9
2019/9/10, 134, 55, 38, 12, 4, 6
2019/9/11, 84, 42, 24, 22, 6, 6
2019/9/12, 58, 31, 31, 13, 3, 3
2019/9/13, 58, 32, 30, 8, 4, 6
2019/9/14, 75, 46, 51, 18, 7, 9
2019/9/15, 93, 44, 47, 14, 6, 4
2019/9/16, 62, 51, 36, 13, 5, 4
2019/9/17, 74, 46, 40, 20, 5, 4
2019/9/18, 64, 48, 38, 14, 5, 4
2019/9/19, 85, 38, 30, 17, 7, 4
2019/9/20, 57, 68, 32, 25, 8, 6
2019/9/21, 115, 83, 86, 23, 7, 8
2019/9/22, 148, 65, 70, 29, 8, 9
2019/9/23, 119, 56, 96, 22, 7, 7
2019/9/24, 101, 66, 68, 23, 7, 8
2019/9/25, 115, 49, 60, 25, 7, 4
2019/9/26, 74, 51, 83, 19, 10, 5
2019/9/27, 87, 63, 93, 22, 7, 7
2019/9/28, 119, 73, 91, 21, 7, 7
2019/9/29, 140, 73, 99, 15, 5, 6
2019/9/30, 128, 66, 88, 16, 6, 6
2019/10/1, 123, 61, 87, 15, 6, 6
2019/4/2, 78, 60, 45, 21, 18, 8
2019/4/3, 112, 62, 60, 22, 12, 5
2019/4/4, 117, 112, 91, 16, 13, 7
2019/4/5, 172, 264, 55, 13, 8, 5
2019/4/6, 134, 84, 46, 14, 9, 5
2019/4/7, 97, 66, 54, 22, 9, 6
2019/4/8, 99, 56, 36, 12, 8, 5
2019/4/9, 79, 40, 35, 11, 6, 3
2019/4/10, 91, 60, 48, 14, 13, 8
2019/4/11, 130, 75, 43, 19, 10, 7
2019/4/12, 163, 78, 55, 17, 9, 7
2019/4/13, 159, 111, 31, 26, 14, 10
2019/4/14, 188, 56, 49, 12, 7, 5
2019/4/15, 75, 61, 62, 13, 11, 4
2019/4/16, 90, 76, 71, 14, 13, 7
2019/4/17, 156, 90, 69, 12, 11, 7
2019/4/18, 141, 112, 40, 17, 7, 5
2019/4/19, 109, 50, 37, 13, 6, 5
2019/4/20, 72, 59, 31, 23, 9, 7
2019/4/21, 101, 72, 48, 21, 8, 9
2019/4/22, 143, 84, 76, 20, 13, 8
2019/4/23, 164, 61, 36, 11, 9, 8
2019/4/24, 132, 75, 35, 15, 8, 5
2019/4/25, 111, 35, 44, 12, 6, 7
2019/4/26, 78, 43, 46, 14, 6, 6
2019/4/27, 95, 50, 35, 21, 8, 8
2019/4/28, 115, 60, 50, 22, 6, 9
2019/4/29, 132, 79, 75, 20, 8, 9
2019/4/30, 161, 83, 47, 14, 6, 7
2019/5/1, 111, 50, 49, 19, 9, 7
2019/5/2, 89, 56, 71, 14, 12, 5
2019/5/3, 90, 68, 81, 11, 11, 5
2019/5/4, 121, 68, 76, 12, 13, 6
2019/5/5, 120, 99, 38, 11, 10, 4
2019/5/6, 99, 60, 49, 14, 13, 6
2019/5/7, 106, 68, 60, 16, 15, 6
2019/5/8, 101, 77, 54, 16, 12, 6
2019/5/9, 130, 71, 72, 17, 12, 6
2019/5/10, 126, 71, 78, 15, 13, 7
2019/5/11, 130, 72, 96, 21, 16, 8
2019/5/12, 138, 98, 71, 19, 14, 9
2019/5/13, 159, 123, 47, 16, 7, 4
2019/5/14, 104, 107, 79, 15, 13, 7
2019/5/15, 127, 93, 76, 13, 10, 8
2019/5/16, 177, 81, 82, 15, 9, 9
2019/5/17, 169, 68, 69, 12, 8, 7
2019/5/18, 151, 42, 63, 12, 11, 5
2019/5/19, 97, 72, 49, 10, 8, 5
2019/5/20, 100, 49, 48, 12, 6, 4
2019/5/21, 63, 46, 59, 13, 8, 5
2019/5/22, 90, 55, 80, 17, 10, 5
2019/5/23, 105, 68, 124, 24, 13, 8
2019/5/24, 140, 63, 93, 12, 11, 5
2019/5/25, 117, 66, 84, 15, 13, 7
2019/5/26, 118, 56, 52, 9, 8, 8
2019/5/27, 115, 25, 51, 11, 6, 3
2019/5/28, 55, 49, 81, 19, 12, 6
2019/5/29, 72, 55, 96, 12, 12, 5
2019/5/30, 86, 46, 91, 10, 9, 5
2019/5/31, 72, 38, 60, 11, 7, 4
2019/6/1, 64, 55, 86, 12, 12, 5
2019/6/2, 88, 69, 113, 13, 12, 7
2019/6/3, 118, 67, 91, 11, 8, 7
2019/6/4, 108, 64, 59, 11, 9, 7
2019/6/5, 126, 67, 53, 17, 7, 9
2019/6/6, 149, 54, 55, 13, 6, 6
2019/6/7, 122, 60, 97, 15, 9, 5
2019/6/8, 114, 48, 79, 12, 7, 4
2019/6/9, 77, 48, 59, 10, 8, 4
2019/6/10, 83, 53, 97, 14, 9, 5
2019/6/11, 84, 63, 110, 13, 12, 6
2019/6/12, 119, 72, 112, 16, 11, 5
2019/6/13, 113, 77, 93, 15, 11, 7
2019/6/14, 119, 79, 120, 14, 11, 8
2019/6/15, 141, 65, 74, 10, 10, 5
2019/6/16, 117, 34, 33, 7, 10, 3
2019/6/17, 65, 41, 81, 11, 10, 4
2019/6/18, 76, 73, 116, 16, 12, 8
2019/6/19, 142, 66, 77, 12, 9, 8
2019/6/20, 137, 63, 117, 13, 8, 6
2019/6/21, 128, 65, 81, 11, 8, 7
2019/6/22, 133, 40, 85, 14, 8, 4
2019/6/23, 67, 50, 106, 13, 12, 5
2019/6/24, 95, 67, 106, 13, 12, 7
2019/6/25, 105, 66, 103, 10, 9, 5
2019/6/26, 115, 58, 96, 11, 10, 5
2019/6/27, 90, 59, 105, 12, 10, 5
2019/6/28, 104, 71, 98, 12, 10, 7
2019/6/29, 122, 55, 90, 9, 7, 5
2019/6/30, 119, 37, 60, 10, 8, 5
2019/7/1, 58, 42, 74, 12, 8, 6
2019/1/2, 176, 122, 17, 36, 33, 23
2019/1/3, 207, 139, 17, 42, 33, 20
2019/1/4, 216, 102, 23, 32, 17, 16
2019/1/5, 164, 57, 24, 23, 17, 11
2019/1/6, 113, 77, 16, 32, 26, 16
2019/1/7, 151, 93, 15, 31, 22, 16
2019/1/8, 164, 63, 27, 19, 15, 11
2019/1/9, 118, 55, 25, 21, 14, 9
2019/1/10, 102, 114, 12, 30, 18, 15
2019/1/11, 188, 124, 19, 32, 14, 19
2019/1/12, 208, 165, 11, 33, 9, 19
2019/1/13, 252, 192, 16, 37, 8, 25
2019/1/14, 270, 182, 23, 45, 18, 30
2019/1/15, 276, 94, 29, 11, 9, 8
2019/1/16, 86, 66, 27, 21, 14, 10
2019/1/17, 108, 114, 14, 33, 27, 15
2019/1/18, 172, 122, 21, 36, 27, 18
2019/1/19, 188, 103, 20, 32, 20, 18
2019/1/20, 170, 61, 31, 20, 15, 9
2019/1/21, 113, 83, 25, 28, 20, 13
2019/1/22, 148, 98, 22, 32, 28, 7
2019/1/23, 163, 80, 28, 30, 21, 3
2019/1/24, 147, 87, 18, 30, 15, 6
2019/1/25, 161, 61, 28, 19, 11, 8
2019/1/26, 113, 66, 25, 25, 17, 11
2019/1/27, 134, 104, 22, 25, 18, 13
2019/1/28, 173, 72, 27, 21, 15, 9
2019/1/29, 121, 110, 23, 29, 24, 12
2019/1/30, 182, 126, 26, 24, 15, 13
2019/1/31, 167, 45, 27, 9, 9, 6
2019/2/1, 83, 84, 33, 12, 15, 9
2019/2/2, 146, 96, 26, 15, 12, 13
2019/2/3, 176, 104, 29, 17, 11, 12
2019/2/4, 157, 143, 41, 15, 20, 14
2019/2/5, 187, 193, 23, 13, 12, 15
2019/2/6, 244, 70, 27, 4, 9, 6
2019/2/7, 128, 46, 31, 3, 9, 6
2019/2/8, 76, 50, 29, 9, 15, 9
2019/2/9, 102, 44, 27, 7, 12, 8
2019/2/10, 95, 47, 26, 12, 17, 11
2019/2/11, 100, 95, 24, 15, 14, 9
2019/2/12, 178, 79, 23, 14, 10, 
2019/2/13, 148, 60, 20, 14, 14, 
2019/2/14, 131, 47, 28, 10, 10, 
2019/2/15, 104, 56, 35, 7, 8, 
2019/2/16, 128, 34, 34, 10, 9, 
2019/2/17, 71, 55, 35, 17, 12, 
2019/2/18, 119, 71, 33, 19, 16, 9
2019/2/19, 148, 106, 25, 13, 9, 4
2019/2/20, 194, 132, 39, 20, 10, 10
2019/2/21, 224, 161, 40, 33, 14, 20
2019/2/22, 259, 153, 45, 40, 16, 20
2019/2/23, 253, 186, 54, 48, 17, 8
2019/2/24, 277, 114, 62, 40, 20, 
2019/2/25, 197, 88, 29, 34, 13, 
2019/2/26, 155, 65, 21, 30, 13, 
2019/2/27, 124, 121, 25, 38, 22, 
2019/2/28, 197, 111, 51, 28, 14, 
2019/3/1, 189, 104, 54, 23, 13, 
2019/3/2, 182, 119, 70, 28, 14, 
2019/3/3, 190, 116, 73, 24, 12, 
2019/3/4, 191, 105, 50, 26, 13, 
2019/3/5, 181, 92, 50, 25, 10, 
2019/3/6, 154, 66, 46, 10, 8, 
2019/3/7, 79, 54, 39, 17, 8, 
2019/3/8, 105, 75, 45, 21, 13, 
2019/3/9, 145, 75, 59, 24, 14, 
2019/3/10, 151, 89, 65, 31, 13, 
2019/3/11, 168, 66, 43, 17, 7, 
2019/3/12, 124, 39, 41, 16, 7, 
2019/3/13, 65, 55, 41, 19, 9, 
2019/3/14, 94, 52, 42, 24, 9, 
2019/3/15, 96, 51, 35, 16, 9, 
2019/3/16, 87, 70, 36, 24, 13, 
2019/3/17, 126, 77, 47, 28, 15, 
2019/3/18, 139, 96, 58, 21, 13, 
2019/3/19, 158, 78, 67, 15, 10, 
2019/3/20, 145, 71, 61, 17, 13, 
2019/3/21, 149, 44, 39, 10, 6, 
2019/3/22, 72, 52, 43, 24, 10, 
2019/3/23, 96, 42, 40, 9, 7, 
2019/3/24, 72, 65, 42, 16, 11, 
2019/3/25, 109, 76, 46, 17, 9, 
2019/3/26, 135, 109, 40, 34, 14, 
2019/3/27, 173, 101, 42, 25, 11, 
2019/3/28, 152, 42, 35, 11, 6, 
2019/3/29, 67, 61, 44, 21, 10, 2
2019/3/30, 103, 53, 40, 6, 5, 4
2019/3/31, 74, 37, 42, 17, 7, 5
2019/4/1, 77, 46, 41, 14, 9, 7
2018/10/2, 87, 57, 42, 25, 8, 7
2018/10/3, 113, 86, 64, 32, 8, 7
2018/10/4, 128, 89, 84, 29, 14, 7
2018/10/5, 146, 77, 91, 29, 17, 5
2018/10/6, 153, 68, 32, 23, 8, 2
2018/10/7, 102, 57, 40, 24, 6, 5
2018/10/8, 96, 74, 39, 33, 15, 7
2018/10/9, 144, 52, 28, 15, 3, 3
2018/10/10, 83, 44, 30, 18, 6, 3
2018/10/11, 83, 52, 36, 23, 8, 6
2018/10/12, 105, 67, 53, 29, 13, 5
2018/10/13, 139, 95, 73, 31, 16, 8
2018/10/14, 166, 91, 63, 29, 16, 7
2018/10/15, 169, 91, 62, 27, 13, 7
2018/10/16, 168, 99, 31, 27, 8, 13
